Nhóm,No,Câu hỏi,Trả lời,Gợi ý khai thác,Mức độ ưu tiên
1. Tổ chức & quy trình,1.1,Doanh nghiệp có bao nhiêu bộ phận/phòng ban tham gia vào quy trình mua hàng?,"phòng mua hàng, kho, sản xuất, kế toán, ban giám đốc","Ví dụ: phòng mua hàng, kho, sản xuất, kế toán, ban giám đốc. Mỗi bộ phận đóng vai trò gì (người yêu cầu, người duyệt, người thực hiện)?",Bắt buộc
1. Tổ chức & quy trình,1.2,Quy trình mua hàng hiện tại được thực hiện như thế nào? Đang dùng công cụ gì?,Trong file workflow đính kèm,"Excel, email, phần mềm cũ, hay quy trình giấy tờ? Xác định điểm đau (pain point) lớn nhất hiện tại là gì.",Bắt buộc
1. Tổ chức & quy trình,1.3,Khối lượng mua hàng trung bình hàng tháng là bao nhiêu đơn/yêu cầu?,50-500,"Ước lượng số lượng PO, số dòng hàng, số nhà cung cấp giao dịch mỗi tháng.",Bắt buộc
1. Tổ chức & quy trình,1.4,Doanh nghiệp có nhiều nhà máy/chi nhánh cần mua hàng không?,2,"Nếu có, mua hàng tập trung hay phân quyền cho từng chi nhánh? Cần phân biệt kho của từng địa điểm không?",Tuỳ chọn
1. Tổ chức & quy trình,1.5,Có phân loại vật tư/hàng hóa theo danh mục không? Danh mục hiện tại gồm bao nhiêu nhóm chính?,Có,"Ví dụ: nguyên vật liệu, bao bì, vật tư tiêu hao, máy móc thiết bị, dịch vụ thuê ngoài.",Bắt buộc
2. Quản lý nhà cung cấp,2.1,Hiện tại doanh nghiệp có bao nhiêu nhà cung cấp đang hoạt động?,50,"Phân loại theo nội địa / nhập khẩu, theo nhóm hàng, hoặc theo mức độ chiến lược?",Bắt buộc
2. Quản lý nhà cung cấp,2.2,Quy trình đăng ký và phê duyệt nhà cung cấp mới hiện nay như thế nào?,Trong file workflow đính kèm,Ai được phép thêm nhà cung cấp mới? Cần giấy tờ gì? Có danh sách nhà cung cấp đủ điều kiện (AVL) không?,Bắt buộc
2. Quản lý nhà cung cấp,2.3,Doanh nghiệp có đánh giá/chấm điểm nhà cung cấp định kỳ không?,Có,"Tiêu chí đánh giá là gì (giao hàng đúng hạn, chất lượng, giá cả, phản hồi)? Tần suất đánh giá? Kết quả ảnh hưởng đến quyết định mua hàng không?",Tuỳ chọn
2. Quản lý nhà cung cấp,2.4,Có yêu cầu lưu trữ hợp đồng khung hoặc điều khoản giá thỏa thuận với nhà cung cấp không?,Có (optional),"Hợp đồng dài hạn, bảng giá ưu đãi, điều khoản thanh toán riêng theo từng nhà cung cấp.",Tuỳ chọn
2. Quản lý nhà cung cấp,2.5,Khi mua một mặt hàng có yêu cầu so sánh giá từ nhiều nhà cung cấp (chào giá cạnh tranh) không?,Có (optional),Ngưỡng giá trị bao nhiêu thì cần lấy ít nhất 3 báo giá? Ai phê duyệt kết quả chào giá?,Bắt buộc
3. Yêu cầu & phê duyệt,3.1,Ai được phép tạo yêu cầu mua hàng (Purchase Requisition)?,Trong file workflow đính kèm,"Chỉ bộ phận mua hàng, hay bất kỳ phòng ban nào cũng có thể gửi yêu cầu? Yêu cầu mua có liên kết với kế hoạch sản xuất/MRP không?",Bắt buộc
3. Yêu cầu & phê duyệt,3.2,Quy trình phê duyệt yêu cầu mua hàng gồm mấy cấp? Dựa trên tiêu chí gì?,Trong file workflow đính kèm,Ví dụ: < 5 triệu → trưởng phòng duyệt; 5–50 triệu → giám đốc duyệt; > 50 triệu → hội đồng duyệt. Phê duyệt song song hay tuần tự?,Bắt buộc
3. Yêu cầu & phê duyệt,3.3,Yêu cầu mua có thể bị từ chối hoặc yêu cầu chỉnh sửa không? Luồng xử lý khi đó như thế nào?,Có,Người tạo yêu cầu có nhận thông báo không? Có thể chỉnh sửa và tái gửi duyệt không?,Bắt buộc
3. Yêu cầu & phê duyệt,3.4,Có trường hợp mua hàng khẩn cấp (bypass quy trình thông thường) không? Xử lý như thế nào?,Có,Ai có quyền duyệt mua khẩn? Sau đó có bổ sung thủ tục đầy đủ không?,Tuỳ chọn
3. Yêu cầu & phê duyệt,3.5,Có yêu cầu lập kế hoạch mua hàng theo tuần/tháng/quý không?,Có (optional),Kế hoạch mua có liên kết với kế hoạch sản xuất hay dự báo tồn kho không? Ai chịu trách nhiệm lập và duyệt kế hoạch?,Tuỳ chọn
4. Đơn đặt hàng (PO),4.1,PO được tạo tự động từ yêu cầu đã duyệt hay nhân viên mua hàng tự tạo thủ công?,nhân viên mua hàng tạo thủ công,Có thể gộp nhiều yêu cầu thành một PO không? Hay mỗi yêu cầu là một PO riêng?,Bắt buộc
4. Đơn đặt hàng (PO),4.2,PO có cần phê duyệt nội bộ trước khi gửi cho nhà cung cấp không?,Có,Cấp duyệt PO có khác cấp duyệt yêu cầu mua không? Ngưỡng giá trị duyệt PO là bao nhiêu?,Bắt buộc
4. Đơn đặt hàng (PO),4.3,PO được gửi cho nhà cung cấp bằng phương thức nào?,Gửi email,"Email tự động, in và fax, cổng nhà cung cấp, hay EDI? Nhà cung cấp có cần xác nhận nhận PO không?",Bắt buộc
4. Đơn đặt hàng (PO),4.4,Khi cần thay đổi PO đã gửi (điều chỉnh số lượng - giá - ngày giao) quy trình xử lý như thế nào?,Trong file workflow đính kèm,Có lưu lịch sử thay đổi PO không? Cần phê duyệt lại từ đầu hay chỉ cần ký phụ lục?,Tuỳ chọn
